"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"274606730657288193","","","","","2012-11-30 20:12:01 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","My kids and I love this illustration http://t.co/gVlxDIaU. Go get @kuvva if you want awesome stuff like that on your desktop or phone.","http://www.kuvva.com/w/8F/3"
"274603082019651584","","","","","2012-11-30 19:57:31 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","New York has a day without violent crime and no one thanks Batman? #wtf"
"274489081621254144","","","","","2012-11-30 12:24:31 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","""Why Mobile First is not the Right Strategy!"" executive summary by @charlesmigli http://t.co/pWht8KUU #tldr via @tldrio","http://tldr.io/tldrs/50b88a08094d8edc2b000137"
"274422128214933504","274321334643871744","793926","","","2012-11-30 07:58:28 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@1Password within logins I have several passwords stored for the same username, i.e. for Twitter."
"274304385289433088","274303007607357443","11833202","","","2012-11-30 00:10:36 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@Econsultancy this one: http://t.co/1YrB6DLq","http://visitsteve.com/404.html"
"274297762294677506","","","","","2012-11-29 23:44:17 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","tweets about love from 1966-1973 by Susan Sontag. http://t.co/eCelkafS","http://tmblr.co/Zx3SbyYJrA8t"
"274289065464041472","","","","","2012-11-29 23:09:43 +0000","<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","proud of being part of it even though I just recently joined http://t.co/YWCaTkeG","http://tcrn.ch/V5e1GS"
"274282916002033665","","","","","2012-11-29 22:45:17 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Demanding login in order to unsubscribe hurts not only your biz but everyones trust in services. You?re one of them @Visually."
"274277372323315714","","","","","2012-11-29 22:23:16 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Send dette til jeres firma mad-boss m/k: http://t.co/Ju08zvCL","http://www.stopspildafmad.dk/madtilhjemloese.html"
"274276511287222272","272072772560248832","153753339","","","2012-11-29 22:19:50 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@SelinaJuul @Madspild tak, har foresl?et det internt til den der st?r for det."
"274273657042386944","","793926","","","2012-11-29 22:08:30 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@1Password why do you store several versions of a site passwd?"
"274255223596408832","","","","","2012-11-29 20:55:15 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","tonight, it?s me vs inbox. wish me luck, going in..."
"274153977401184256","","","","","2012-11-29 14:12:56 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","combine [this](http://t.co/Zu5nXrP6) with [that](http://t.co/jX7vzuII) + and you?re good. (ht @risager + @cameronmoll)","http://blog.offscreenmag.com/tagged/Desktop","http://www.alistapart.com/articles/habit-fields/"
"274093014757044225","","","","","2012-11-29 10:10:41 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Nice service and great selection: http://t.co/WkJBwnla","http://announcemewhen.com"
"274091877748318209","273797063781785600","28520864","","","2012-11-29 10:06:10 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@rankenberg @pedrsn m?ske denne kan bruges: http://t.co/WkJBwnla","http://announcemewhen.com"
"274077641110351872","","","","","2012-11-29 09:09:36 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","funny how mails from Twitter tend to land in the spam folder even though I?ve marked them as not spam in #Gmail+"
"273918108882845697","","","273917666081779713","108253481","2012-11-28 22:35:40 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @JacobRavn: I love this app prototyping app : http://t.co/CycQivKO","http://popapp.in/"
