"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"895819448","","","","","2008-08-22 19:07:58 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","OpenDNS could be more helpful when sites are down. Too many ads and no help with a retry"
"895334961","","","","","2008-08-22 09:33:36 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","Backup sucks. Keep your stuff out there, like Google Apps, Flickr, Picasa, Basecamp etc"
"894161797","","","","","2008-08-21 08:01:17 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","Yahoo! search may be better, but someone should prove it better in a simple way. Visually."
"894157048","894079275","18713","","","2008-08-21 07:51:42 +0000","web","@al3x I'm doing it"
"894154185","893642480","14685808","","","2008-08-21 07:46:21 +0000","web","@vonhaller How do you run 8K in a small garden?"
"893108705","","","","","2008-08-20 10:29:51 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","hacking Magento for a client"
"890741596","","","","","2008-08-18 04:27:54 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","Back from Fyn"
"887276724","","","","","2008-08-14 11:21:30 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","inbox at only 6 threads. great feeling"
"883908474","883085235","3339171","","","2008-08-11 07:18:11 +0000","web","@dsearls there's a better way. I'm working on it. Be right back (in a month or so)"
"881312686","881306432","3558851","","","2008-08-08 09:27:04 +0000","web","@leebryant thanks :) you too"
"881312345","","","","","2008-08-08 09:26:20 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","Here's a free reverse birthday gift from me: Create a lifestream tracker that tracks questions + easy answer functionality"
"881206378","","","","","2008-08-08 06:00:42 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","08/08/71 I was born at 8. Today is 08/08/08 and the clock is 8. Guess what my lucky number is :)"
"879272784","","","","","2008-08-06 12:48:44 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","going rollerskating with the kids"
"879149197","","","","","2008-08-06 09:14:37 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","funny how sleep solves bugs"
"878117402","","","","","2008-08-05 10:29:49 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","finally back to Nodeville hacking. invites soon"
"877522426","","","","","2008-08-04 19:33:19 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","my wife is cool and the kids wonderful. this must be happiness"
"877117413","","","","","2008-08-04 11:29:57 +0000","<a href=""http://www.ping.fm/"" rel=""nofollow"">Ping.fm</a>","my old Nokia is dead. Doing ""the green thing"" by using another old Nokia, but left the charger in the summerhouse."
"876979368","","","","","2008-08-04 06:54:47 +0000","web","back from holiday. First day at work and the rain is pouring down. A cosy start"
"875930177","875549097","3558851","","","2008-08-02 22:15:25 +0000","web","@leebryant where in the same challenge :)"
